UBICACIÓN / LOCATION,IMAGEN PLANO,DESARROLLO / DEVELOPMENT,UNIDAD / UNIT,RECAMARAS / BEDROOMS,M2,SQFT,PRECIO DE LISTA / PRICE LIST,DESCUENTO / DISCOUNT %,DESCUENTO / DISCOUNT $,PRECIO FINAL / FINAL PRICE,COTIZAR,OPCION 1,ENGANCHE,MONTO,SALDO,PRECIO ,DESCUENTO TOTAL,OPCION 2,ENGANCHE1,MONTO1,SALDO1,PRECIO1,DESCUENTO TOTAL1,OPCION 3,ENGANCHE2,MONTO2,SALDO2,PRECIO2,DESCUENTO TOTAL2,OPCION 4,ENGANCHE3,MONTO3,6 MESES 10%,12 MESES 10%,SALDO3,PRECIO3,DESCUENTO TOTAL3,OPCION 5,ENGANCHE4,MONTO4,6 MESES 10%1,12 MESES 10%1,SALDO4,PRECIO4,DESCUENTO TOTAL4,OPCION 6,ENGANCHE5,MONTO5,SALDO5,PRECIO5,DESCUENTO TOTAL5,PRECIO6,OPCION 7,ENGANCHE6,MONTO6,A FINANCIAR,MONTO TOTAL A PAGAR,TASA,PLAZO,PAGO MENSUAL,ENGANCHE7,MONTO7,SALDO7,PRECIO7,DESCUENTO TOTAL7,TC PREVENTA,TC TERMINADO,PRECIO DE LISTA / PRICE LIST MXN,DESCUENTO / DISCOUNT % MXN,DESCUENTO / DISCOUNT $ MXN,PRECIO FINAL / FINAL PRICE MXN,TC CAD,PRECIO DE LISTA / PRICE LIST CAD,DESCUENTO / DISCOUNT % CAD,DESCUENTO / DISCOUNT $ CAD,PRECIO FINAL / FINAL PRICE CAD,,DESARROLLO / DEVELOPMENT,UNIDAD / UNIT,RECAMARAS / BEDROOMS,M2,SQFT,PRECIO DE LISTA / PRICE LIST,DESCUENTO / DISCOUNT %,DESCUENTO / DISCOUNT $,PRECIO FINAL / FINAL PRICE,,,BAJA ,MEDIO ,ALTA ,FIESTAS ,,,BAJA ,MEDIO ,ALTA,FIESTAS ,,INGRESO BRUTO,30% ADMIN,GASTOS GENERALES,MANTENIMIENTO,PREDIAL,RETORNO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_053a94993edf481fa1361e9a57cf4cec~mv2.jpg,MARESOL,2,STUDIO,34,367,243836,19.25%,46938,196898,💰 Cotizar,Forma de pago / Payment plan 1,30%,59069,137828,196898,46938,Forma de pago / Payment plan 2,50%,95495,95495,190991,52845,Forma de pago / Payment plan 3,80%,149642,37411,187053,56783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5364396,1032643,0,4331752,15,369958,19%,71217,298742,,MARESOL,2,STUDIO,34,367,"$243,836",19.25%,"$46,938","$196,898",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,632.00",$196.90,4.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_e0861b10f1d045e0b1e4ce3bd2b0ed56~mv2.jpg,MARESOL,3,STUDIO,35,378,249144,19.25%,47960,201184,💰 Cotizar,Forma de pago / Payment plan 1,30%,60355,140829,201184,47960,Forma de pago / Payment plan 2,50%,97574,97574,195148,53996,Forma de pago / Payment plan 3,80%,152900,38225,191125,58019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5481169,1055126,0,4426043,15,378012,19%,72767,305244,,MARESOL,3,STUDIO,35,378,"$249,144",19.25%,"$47,960","$201,184",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,680.00",$201.18,4.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_344d701d0c234d8890f87c40ea9ffd38~mv2.jpg,MARESOL,4,STUDIO,32,345,231675,19.25%,44597,187078,💰 Cotizar,Forma de pago / Payment plan 1,30%,56123,130954,187078,44597,Forma de pago / Payment plan 2,50%,90733,90733,181465,50210,Forma de pago / Payment plan 3,80%,142179,35545,177724,53951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5096850,981143,0,4115708,15,351507,19%,67665,283842,,MARESOL,4,STUDIO,32,345,"$231,675",19.25%,"$44,597","$187,078",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,536.00",$187.08,4.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_f55ca29d3d9b47f4820b85f23d661093~mv2.jpg,MARESOL,5,STUDIO,31,335,232728,19.25%,44800,187928,💰 Cotizar,Forma de pago / Payment plan 1,30%,56379,131550,187928,44800,Forma de pago / Payment plan 2,50%,91145,91145,182291,50438,Forma de pago / Payment plan 3,80%,142826,35706,178532,54197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5120027,985602,0,4134424,15,353105,19%,67973,285133,,MARESOL,5,STUDIO,31,335,"$232,728",19.25%,"$44,800","$187,928",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,488.00",$187.93,4.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_a712f85f4c904233ac90682971990c6c~mv2.jpg,MARESOL,6,STUDIO,31,335,232728,19.25%,44800,187928,💰 Cotizar,Forma de pago / Payment plan 1,30%,56379,131550,187928,44800,Forma de pago / Payment plan 2,50%,91145,91145,182291,50438,Forma de pago / Payment plan 3,80%,142826,35706,178532,54197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5120027,985602,0,4134424,15,353105,19%,67973,285133,,MARESOL,6,STUDIO,31,335,"$232,728",19.25%,"$44,800","$187,928",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,488.00",$187.93,4.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_427d14aeea2b459281c8cfac4c7b440b~mv2.jpg,MARESOL,7,STUDIO,31,335,232728,19.25%,44800,187928,💰 Cotizar,Forma de pago / Payment plan 1,30%,56379,131550,187928,44800,Forma de pago / Payment plan 2,50%,91145,91145,182291,50438,Forma de pago / Payment plan 3,80%,142826,35706,178532,54197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5120027,985602,0,4134424,15,353105,19%,67973,285133,,MARESOL,7,STUDIO,31,335,"$232,728",19.25%,"$44,800","$187,928",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,488.00",$187.93,4.73%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_5b0db04fde5d4b25b0fd0486d08157c2~mv2.jpg,MARESOL,8,STUDIO,40,427,273000,19.25%,52553,220448,💰 Cotizar,Forma de pago / Payment plan 1,30%,66134,154313,220448,52553,Forma de pago / Payment plan 2,50%,106917,106917,213834,59166,Forma de pago / Payment plan 3,80%,167540,41885,209425,63575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,6006006,1156159,0,4849847,15,414207,19%,79735,334472,,MARESOL,8,STUDIO,40,427,"$273,000",19.25%,"$52,553","$220,448",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,920.00",$220.45,3.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_6cdb8ca3d9854e12b8288aafe964bcf9~mv2.jpg,MARESOL,9,LOFT,84,905,602293,15.00%,90344,511950,💰 Cotizar,Forma de pago / Payment plan 1,30%,153585,358365,511950,90344,Forma de pago / Payment plan 2,50%,248296,248296,496591,105702,Forma de pago / Payment plan 3,80%,389082,97270,486352,115941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,13250456,1987563,0,11262893,15,913825,15%,137073,776751,,MARESOL,9,LOFT,84,905,"$602,293",15.00%,"$90,344","$511,950",,,$85,$110,$135,$180,,,,,,,,"$27,737.50","$8,321.25","$3,000.00","$4,032.00",$511.95,2.32%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_211a32b8bd10499581dfb156cc4ad4ab~mv2.jpg,MARESOL,10,STUDIO,40,427,205000,19.25%,39463,165538,💰 Cotizar,Forma de pago / Payment plan 1,30%,49661,115876,165538,39463,Forma de pago / Payment plan 2,50%,80286,80286,160571,44429,Forma de pago / Payment plan 3,80%,125809,31452,157261,47739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,4510000,868175,0,3641825,15,311034,19%,59874,251160,,MARESOL,10,STUDIO,40,427,"$205,000",19.25%,"$39,463","$165,538",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,920.00",$165.54,5.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_7e0348e0cb894c0c9a03a76096d72a06~mv2.jpg,MARESOL,101,STUDIO,36,390,262934,19.25%,50615,212319,💰 Cotizar,Forma de pago / Payment plan 1,30%,63696,148623,212319,50615,Forma de pago / Payment plan 2,50%,102975,102975,205949,56984,Forma de pago / Payment plan 3,80%,161362,40341,201703,61231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5784538,1113526,0,4671012,15,398934,19%,76795,322139,,MARESOL,101,STUDIO,36,390,"$262,934",19.25%,"$50,615","$212,319",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,728.00",$212.32,4.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_4c8d10e8d8364836912e77b4129dc7f4~mv2.jpg,MARESOL,102,STUDIO,34,365,246398,19.25%,47432,198966,💰 Cotizar,Forma de pago / Payment plan 1,30%,59690,139276,198966,47432,Forma de pago / Payment plan 2,50%,96499,96499,192997,53401,Forma de pago / Payment plan 3,80%,151214,37804,189018,57380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5420749,1043494,0,4377255,15,373845,19%,71965,301880,,MARESOL,102,STUDIO,34,365,"$246,398",19.25%,"$47,432","$198,966",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,632.00",$198.97,4.39%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_45cdd954ece94a8993e1a7c706751bd8~mv2.jpg,MARESOL,103,STUDIO,34,367,247888,19.25%,47718,200170,💰 Cotizar,Forma de pago / Payment plan 1,30%,60051,140119,200170,47718,Forma de pago / Payment plan 2,50%,97082,97082,194165,53723,Forma de pago / Payment plan 3,80%,152129,38032,190161,57727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5453537,1049803,0,4403734,15,376106,19%,72400,303706,,MARESOL,103,STUDIO,34,367,"$247,888",19.25%,"$47,718","$200,170",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,632.00",$200.17,4.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_cadccad05e834433890c2fe752441db6~mv2.jpg,MARESOL,104,STUDIO,35,378,255411,19.25%,49166,206244,💰 Cotizar,Forma de pago / Payment plan 1,30%,61873,144371,206244,49166,Forma de pago / Payment plan 2,50%,100029,100029,200057,55354,Forma de pago / Payment plan 3,80%,156746,39186,195932,59479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5619038,1081662,0,4537375,15,387520,19%,74597,312922,,MARESOL,104,STUDIO,35,378,"$255,411",19.25%,"$49,166","$206,244",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,680.00",$206.24,4.21%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_e86f3d0b4fb64f21b44d7d5d632269df~mv2.jpg,MARESOL,105,STUDIO,32,344,234743,19.25%,45188,189555,💰 Cotizar,Forma de pago / Payment plan 1,30%,56866,132688,189555,45188,Forma de pago / Payment plan 2,50%,91934,91934,183868,50874,Forma de pago / Payment plan 3,80%,144062,36015,180077,54666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5164335,994131,0,4170204,15,356161,19%,68561,287600,,MARESOL,105,STUDIO,32,344,"$234,743",19.25%,"$45,188","$189,555",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,536.00",$189.55,4.66%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_8171e0afb665449b88033a1ccbcc87af~mv2.jpg,MARESOL,106,STUDIO,36,385,266322,23.50%,62586,203736,💰 Cotizar,Forma de pago / Payment plan 1,30%,61121,142615,203736,62586,Forma de pago / Payment plan 2,50%,98812,98812,197624,68698,Forma de pago / Payment plan 3,80%,154840,38710,193549,72772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5859080,1376883,0,4482197,15,404075,23%,94957,309117,,MARESOL,106,STUDIO,36,385,"$266,322",23.50%,"$62,586","$203,736",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,728.00",$203.74,4.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_70e4cc07f6ea479486e3d6b6e53f0cfe~mv2.jpg,MARESOL,107,STUDIO,36,385,266322,23.50%,62586,203736,💰 Cotizar,Forma de pago / Payment plan 1,30%,61121,142615,203736,62586,Forma de pago / Payment plan 2,50%,98812,98812,197624,68698,Forma de pago / Payment plan 3,80%,154840,38710,193549,72772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5859080,1376883,0,4482197,15,404075,23%,94957,309117,,MARESOL,107,STUDIO,36,385,"$266,322",23.50%,"$62,586","$203,736",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,728.00",$203.74,4.24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_999ad178cfd641a882d82c936ecf1221~mv2.jpg,MARESOL,108,1 RECAMARA,41,442,304818,19.25%,58678,246141,💰 Cotizar,Forma de pago / Payment plan 1,30%,73842,172299,246141,58678,Forma de pago / Payment plan 2,50%,119378,119378,238757,66062,Forma de pago / Payment plan 3,80%,187067,46767,233834,70985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,6706003,1290906,0,5415097,15,462483,19%,89028,373455,,MARESOL,108,1 RECAMARA,41,442,"$304,818",19.25%,"$58,678","$246,141",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$1,968.00",$246.14,6.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_b7d4933855594de58722deb62f726d0b~mv2.jpg,MARESOL,110,STUDIO,34,367,248101,19.25%,47760,200341,💰 Cotizar,Forma de pago / Payment plan 1,30%,60102,140239,200341,47760,Forma de pago / Payment plan 2,50%,97166,97166,194331,53770,Forma de pago / Payment plan 3,80%,152259,38065,190324,57777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5458221,1050710,0,4407511,15,376429,19%,72463,303966,,MARESOL,110,STUDIO,34,367,"$248,101",19.25%,"$47,760","$200,341",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,632.00",$200.34,4.36%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_fd539c27227243188c5126df7d4b480f~mv2.jpg,MARESOL,113,STUDIO,31,335,232359,19.25%,44729,187630,💰 Cotizar,Forma de pago / Payment plan 1,30%,56289,131341,187630,44729,Forma de pago / Payment plan 2,50%,91000,91000,182001,50358,Forma de pago / Payment plan 3,80%,142598,35650,178248,54111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5111889,984039,0,4127850,15,352544,19%,67865,284679,,MARESOL,113,STUDIO,31,335,"$232,359",19.25%,"$44,729","$187,630",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,488.00",$187.63,4.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_272c25f19f8d49018e116987a3bbecae~mv2.jpg,MARESOL,114,STUDIO,40,429,276839,19.25%,53291,223547,💰 Cotizar,Forma de pago / Payment plan 1,30%,67064,156483,223547,53291,Forma de pago / Payment plan 2,50%,108421,108421,216841,59998,Forma de pago / Payment plan 3,80%,169896,42474,212370,64469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,6090455,1172410,0,4918045,15,420031,19%,80856,339175,,MARESOL,114,STUDIO,40,429,"$276,839",19.25%,"$53,291","$223,547",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,920.00",$223.55,3.77%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_9effebbfa2a74681b98f9cb1c99088ba~mv2.jpg,MARESOL,201,STUDIO,36,390,262875,19.25%,50603,212272,💰 Cotizar,Forma de pago / Payment plan 1,30%,63682,148590,212272,50603,Forma de pago / Payment plan 2,50%,102952,102952,205904,56972,Forma de pago / Payment plan 3,80%,161327,40332,201658,61217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5783258,1113276,0,4669983,15,398845,19%,76778,322068,,MARESOL,201,STUDIO,36,390,"$262,875",19.25%,"$50,603","$212,272",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,728.00",$212.27,4.06%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_e546ce518c5b48fbadef54cc76aa8ee1~mv2.jpg,MARESOL,202,STUDIO,34,365,252438,19.25%,48594,203844,💰 Cotizar,Forma de pago / Payment plan 1,30%,61153,142691,203844,48594,Forma de pago / Payment plan 2,50%,98864,98864,197728,54710,Forma de pago / Payment plan 3,80%,154921,38730,193651,58787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5553638,1069079,0,4484559,15,383010,19%,73730,309280,,MARESOL,202,STUDIO,34,365,"$252,438",19.25%,"$48,594","$203,844",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,632.00",$203.84,4.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_4a51ec624c184b70aa798dd04396dab6~mv2.jpg,MARESOL,203,STUDIO,34,367,253966,19.25%,48888,205077,💰 Cotizar,Forma de pago / Payment plan 1,30%,61523,143554,205077,48888,Forma de pago / Payment plan 2,50%,99463,99463,198925,55041,Forma de pago / Payment plan 3,80%,155859,38965,194824,59142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5587249,1075546,0,4511703,15,385328,19%,74176,311152,,MARESOL,203,STUDIO,34,367,"$253,966",19.25%,"$48,888","$205,077",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,632.00",$205.08,4.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_72a34a8b2c1845218b5066ae1b05bbb1~mv2.jpg,MARESOL,204,STUDIO,35,378,260842,19.25%,50212,210630,💰 Cotizar,Forma de pago / Payment plan 1,30%,63189,147441,210630,50212,Forma de pago / Payment plan 2,50%,102155,102155,204311,56531,Forma de pago / Payment plan 3,80%,160079,40020,200098,60744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5738524,1104667,0,4633857,15,395760,19%,76184,319576,,MARESOL,204,STUDIO,35,378,"$260,842",19.25%,"$50,212","$210,630",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,680.00",$210.63,4.12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_956cb40c668e491f873117f22ec681db~mv2.jpg,MARESOL,205,STUDIO,32,345,240809,19.25%,46356,194453,💰 Cotizar,Forma de pago / Payment plan 1,30%,58336,136117,194453,46356,Forma de pago / Payment plan 2,50%,94310,94310,188620,52189,Forma de pago / Payment plan 3,80%,147785,36946,184731,56078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5297803,1019826,0,4277977,15,365366,19%,70333,295033,,MARESOL,205,STUDIO,32,345,"$240,809",19.25%,"$46,356","$194,453",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,536.00",$194.45,4.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_1912e3fd0d4a49d7ab323c1459867992~mv2.jpg,MARESOL,206,STUDIO,37,395,274714,23.50%,64558,210157,💰 Cotizar,Forma de pago / Payment plan 1,30%,63047,147110,210157,64558,Forma de pago / Payment plan 2,50%,101926,101926,203852,70863,Forma de pago / Payment plan 3,80%,159719,39930,199649,75066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,6043717,1420272,0,4623445,15,416808,23%,97950,318858,,MARESOL,206,STUDIO,37,395,"$274,714",23.50%,"$64,558","$210,157",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,776.00",$210.16,4.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_4cd8f5eba9004a749c86d00a5b1befc8~mv2.jpg,MARESOL,207,STUDIO,37,395,274714,23.50%,64558,210157,💰 Cotizar,Forma de pago / Payment plan 1,30%,63047,147110,210157,64558,Forma de pago / Payment plan 2,50%,101926,101926,203852,70863,Forma de pago / Payment plan 3,80%,159719,39930,199649,75066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,6043717,1420272,0,4623445,15,416808,23%,97950,318858,,MARESOL,207,STUDIO,37,395,"$274,714",23.50%,"$64,558","$210,157",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,776.00",$210.16,4.08%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_deeea19680e64eb7b2c9010dffca227c~mv2.jpg,MARESOL,208,1 RECAMARA,41,442,312146,19.25%,60088,252058,💰 Cotizar,Forma de pago / Payment plan 1,30%,75617,176440,252058,60088,Forma de pago / Payment plan 2,50%,122248,122248,244496,67650,Forma de pago / Payment plan 3,80%,191564,47891,239455,72691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,6867202,1321932,0,5545270,15,473600,19%,91168,382432,,MARESOL,208,1 RECAMARA,41,442,"$312,146",19.25%,"$60,088","$252,058",,,$90,$130,$150,$200,,,,,,,,"$31,416.00","$9,424.80","$3,000.00","$1,968.00",$252.06,6.65%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_93fb166b12f84fe09d499fc1ec297360~mv2.jpg,MARESOL,209,STUDIO,39,417,275870,23.50%,64829,211041,💰 Cotizar,Forma de pago / Payment plan 1,30%,63312,147728,211041,64829,Forma de pago / Payment plan 2,50%,102355,102355,204709,71161,Forma de pago / Payment plan 3,80%,160391,40098,200489,75381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,6069140,1426246,0,4642894,15,418561,23%,98362,320200,,MARESOL,209,STUDIO,39,417,"$275,870",23.50%,"$64,829","$211,041",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,872.00",$211.04,4.02%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_20b6852f8d0f424ead6e94cbf8a49275~mv2.jpg,MARESOL,210,STUDIO,34,367,254111,19.25%,48916,205195,💰 Cotizar,Forma de pago / Payment plan 1,30%,61558,143636,205195,48916,Forma de pago / Payment plan 2,50%,99520,99520,199039,55072,Forma de pago / Payment plan 3,80%,155948,38987,194935,59176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5590450,1076161,0,4514289,15,385548,19%,74218,311330,,MARESOL,210,STUDIO,34,367,"$254,111",19.25%,"$48,916","$205,195",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,632.00",$205.19,4.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_c23879c5ff254374bdff3c6b9395923a~mv2.jpg,MARESOL,211,STUDIO,31,335,234281,19.25%,45099,189182,💰 Cotizar,Forma de pago / Payment plan 1,30%,56755,132428,189182,45099,Forma de pago / Payment plan 2,50%,91753,91753,183507,50775,Forma de pago / Payment plan 3,80%,143779,35945,179723,54558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5154191,992180,0,4162012,15,355461,19%,68426,287035,,MARESOL,211,STUDIO,31,335,"$234,281",19.25%,"$45,099","$189,182",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,488.00",$189.18,4.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAYA DEL CARMEN,https://static.wixstatic.com/media/5ed051_f0189d7541da4065ac0ee62a0de4d189~mv2.jpg,MARESOL,213,STUDIO,31,335,241606,19.25%,46509,195097,💰 Cotizar,Forma de pago / Payment plan 1,30%,58529,136568,195097,46509,Forma de pago / Payment plan 2,50%,94622,94622,189244,52362,Forma de pago / Payment plan 3,80%,148274,37068,185342,56264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,5315333,1023199,0,4292134,15,366575,19%,70565,296009,,MARESOL,213,STUDIO,31,335,"$241,606",19.25%,"$46,509","$195,097",,,$55,$75,$95,$140,,,,,,,,"$19,375.00","$5,812.50","$3,000.00","$1,488.00",$195.10,4.55%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
